10-10,HydroCel,ArcLength
C3,E36,0.436238892
C4,E104,0.497123711
Cz,E129,0.0
F3,E24,0.795011
F4,E124,0.251126
F7,E33,2.135136
F8,E122,1.510734
FP1,E22,0.676512
FP2,E9,0.72402
FPZ,E14,1.719687
FPZ,E21,1.81232
FPZ,E15,2.153488
Fz,E11,0.782608
O1,E70,1.769700151
O2,E83,1.550805764
P3,E52,1.700347748
P4,E92,0.884674687
T5,E58,1.58875435
P7,E58,1.58875435
T6,E96,1.152553305
P8,E96,1.152553305
T3,E45,2.445759155
T4,E108,2.155490778
T7,E45,2.445759155
T8,E108,2.155490778
AF3,E23,1.360952
AF4,E3,0.514681
AF7,E26,1.525864
AF8,E2,0.879039
Afz,E16,0.480872
C1,E30,0.69756351
C2,E105,0.072678512
C5,E41,1.059052641
C6,E103,1.04678466
CP1,E37,1.105318346
Cp2,E87,0.769807058
CP3,E42,0.841452438
CP4,E93,0.499479459
Cp5,E47,0.330299473
CP6,E98,0.497889883
CpZ,E55,0.337813
F1,E19,1.070047
F10,E1,0.949038
F2,E4,0.635497
F5,E27,0.796737
F6,E123,0.111369
F9,E32,0.634128
FC1,E13,0.90596965
FC2,E112,1.277097778
FC3,E29,0.992441841
FC4,E111,1.071025231
FC5,E28,0.946988
FC6,E117,1.651589677
Fcz,E6,0.839795
Ft10,E121,1.677695
FT7,E34,1.446053
FT8,E116,1.716114274
Ft9,E38,1.424932
Oz,E75,1.044015
P1,E60,0.420415135
P9,E64,2.284576896
P10,E95,1.810215
P2,E85,1.07775462
P5,E51,1.424895105
P6,E97,0.945945361
P9,E64,2.284577
PO3,E67,1.234265999
PO4,E77,1.288728821
PO7,E65,1.450160316
PO8,E90,1.773835633
Poz,E72,0.318779
Pz,E62,0.741746
T10,E114,2.17879
T11,E45,3.291678
T12,E108,3.163653
T9,E44,2.018466
TP10,E100,1.223438
Tp7,E46,1.140839183
TP8,E102,1.835932481
TP9,E57,1.121168
