10-10 HydroCel ArcLength 10-10 HydroCel ArcLength
C3 36 0.436238892 F2 4 0.635497
C4 104 0.497123711 F5 27 0.796737
Cz 129 0 F6 123 0.111369
F3 24 0.795011 F9 32 0.634128
F4 124 0.251126 FC1 13 0.90596965
F7 33 2.135136 FC2 112 1.277097778
F8 122 1.510734 FC3 29 0.992441841
FP1 22 0.676512 FC4 111 1.071025231
FP2 9 0.724020 FC5 28 0.946988
FPZ 14 1.719687 FC6 117 1.651589677
FPZ 21 1.812320 Fcz 6 0.839795
FPZ 15 2.153488 Ft10 121 1.677695
Fz 11 0.782608 FT7 34 1.446053
O1 70 1.769700151 FT8 116 1.716114274
O2 83 1.550805764 Ft9 38 1.424932
P3 52 1.700347748 Oz 75 1.044015
P4 92 0.884674687 P1 60 0.420415135
T5-P7 58 1.58875435 P9 64 2.284576896
T6-P8 96 1.152553305 P10 95 1.810215
T3-T7 45 2.445759155 P2 85 1.07775462
T4-T8 108 2.155490778 P5 51 1.424895105
AF3 23 1.360952 P6 97 0.945945361
AF4 3 0.514681 P9 64 2.284577
AF7 26 1.525864 PO3 67 1.234265999
AF8 2 0.879039 PO4 77 1.288728821
Afz 16 0.480872 PO7 65 1.450160316
C1 30 0.69756351 PO8 90 1.773835633
C2 105 0.072678512 Poz 72 0.318779
C5 41 1.059052641 Pz 62 0.741746
C6 103 1.04678466
CP1 37 1.105318346 T10 114 2.178790
Cp2 87 0.769807058 T11 45 3.291678
CP3 42 0.841452438
CP4 93 0.499479459 T12 108 3.163653
Cp5 47 0.330299473 T9 44 2.018466
CP6 98 0.497889883 TP10 100 1.223438
CpZ 55 0.337813 Tp7 46 1.140839183
F1 19 1.070047 TP8 102 1.835932481
F10 1 0.949038 TP9 57 1.121168
