identifier,IA_ID,IA_LABEL
Bias0,1.0,Around
Bias0,2.0,the
Bias0,3.0,turn
Bias0,4.0,of
Bias0,5.0,the
Bias0,6.0,20th
Bias0,8.0,century
Bias0,9.0,a
Bias0,10.0,German
Bias0,11.0,school
Bias0,12.0,teacher
Bias0,13.0,named
Bias0,14.0,Mr
Bias0,15.0,.
Bias0,16.0,von
Bias0,17.0,Osten
Bias0,18.0,exhibited
Bias0,19.0,his
Bias0,20.0,intelligent
Bias0,21.0,horse
Bias0,22.0,Hans
Bias0,23.0,","
Bias0,24.0,who
Bias0,25.0,communicated
Bias0,26.0,by
Bias0,27.0,tapping
Bias0,28.0,his
Bias0,29.0,hooves
Bias0,30.0,.
Bias0,31.0,Two
Bias0,32.0,taps
Bias0,33.0,was
Bias0,34.0,either
Bias0,35.0,the
Bias0,36.0,number
Bias0,37.0,two
Bias0,38.0,or
Bias0,39.0,the
Bias0,40.0,letter
Bias0,41.0,B
Bias0,42.0,and
Bias0,43.0,so
Bias0,44.0,on
Bias0,45.0,.
Bias0,46.0,Apparently
Bias0,47.0,his
Bias0,48.0,horse
Bias0,49.0,could
Bias0,50.0,even
Bias0,51.0,calculate
Bias0,52.0,square
Bias0,53.0,roots
Bias0,54.0,!
Bias0,55.0,Two
Bias0,56.0,psychologists
Bias0,57.0,were
Bias0,58.0,dubious
Bias0,59.0,and
Bias0,60.0,did
Bias0,61.0,several
Bias0,62.0,different
Bias0,63.0,experiments
Bias0,64.0,to
Bias0,65.0,discern
Bias0,66.0,whether
Bias0,67.0,he
Bias0,68.0,really
Bias0,69.0,could
Bias0,70.0,do
Bias0,71.0,the
Bias0,72.0,tricks
Bias0,73.0,he
Bias0,74.0,was
Bias0,75.0,reported
Bias0,76.0,to
Bias0,77.0,be
Bias0,78.0,able
Bias0,79.0,to
Bias0,80.0,do
Bias0,81.0,.
Bias0,82.0,They
Bias0,83.0,noted
Bias0,84.0,that
Bias0,85.0,Hans
Bias0,86.0,was
Bias0,87.0,usually
Bias0,88.0,correct
Bias0,89.0,except
Bias0,90.0,in
Bias0,91.0,two
Bias0,92.0,situations
Bias0,93.0,.
