identifier,IA_ID,IA_LABEL,text,punctuation,sentence_ix,word_in_sentence,sentence_word_count,relative_word_position,word_freq,stop_word,gpt2_surprisal_page,opt-125m_surprisal_page,opt-125m_surprisal_wholetext,log_word_freq
Bias0,1,Around,Bias,False,0,0,25,0.0,0.000589,False,9.247074127197266,9.502090454101562,9.502090454101562,-7.437084374312687
Bias0,2,the,Bias,False,0,1,25,0.04,0.0537,True,1.7022709846496582,1.413455367088318,1.4134552478790283,-2.9243422774673182
Bias0,3,turn,Bias,False,0,2,25,0.08,0.000209,False,4.865251541137695,7.989987373352051,7.989988327026367,-8.473176305999463
Bias0,4,of,Bias,False,0,3,25,0.12,0.0251,True,0.0310035198926925,0.3707428574562073,0.3707428574562073,-3.684887432844399
Bias0,5,the,Bias,False,0,4,25,0.16,0.0537,True,0.0371656455099582,0.0936536639928817,0.0936536639928817,-2.9243422774673182
Bias0,6,20th,Bias,False,0,5,25,0.2,4.5e-06,False,2.0372924036346376,2.459377884864807,2.45937979221344,-12.311433161188
Bias0,8,century,Bias,False,0,6,25,0.24,0.000105,False,0.1527268886566162,0.233723908662796,0.2337239980697631,-9.161550207806751
Bias0,9,a,Bias,False,0,7,25,0.28,0.0229,True,4.322543144226074,4.450676918029785,4.450675964355469,-3.776618368421943
Bias0,10,German,Bias,False,0,8,25,0.32,8.91e-05,False,3.92477822303772,4.406615257263184,4.4066162109375,-9.32575122348751
Bias0,11,school,Bias,False,0,9,25,0.36,0.000513,False,6.269900321960449,6.506234169006348,6.506235122680664,-7.575234712793504
Bias0,12,teacher,Bias,False,0,10,25,0.4,7.59e-05,False,2.6009349822998047,2.846779584884644,2.84678053855896,-9.48609387356269
Bias0,13,named,Bias,False,0,11,25,0.44,8.91e-05,False,1.443027377128601,3.439495801925659,3.439495086669922,-9.32575122348751
Bias0,14,Mr,Bias,False,0,12,25,0.48,0.00049,False,8.48438686132431,6.604160279035568,6.604159981012344,-7.621105166859602
Bias0,15,.,Bias,True,0,12,25,0.48,0.0,False,,,,
Bias0,16,von,Bias,False,0,13,25,0.52,1.48e-05,False,4.483306884765625,6.268105983734131,6.268105506896973,-11.120883377194204
Bias0,17,Osten,Bias,False,0,14,25,0.56,9.77e-08,False,10.5906982421875,8.427951335906982,8.42795181274414,-16.141364277897676
Bias0,18,exhibited,Bias,False,0,15,25,0.6,7.24e-06,False,9.954595565795898,10.854276657104492,10.854276657104492,-11.83588935156665
Bias0,19,his,Bias,False,0,16,25,0.64,0.00324,True,1.6617374420166016,2.9433999061584477,2.94340181350708,-5.732181949177899
Bias0,20,intelligent,Bias,False,0,17,25,0.68,1.95e-05,False,10.510931015014648,9.612524032592772,9.612524032592772,-10.845096092394574
